"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"A","Agilent Technologies, Inc.","Healthcare","Medical Laboratories & Research","USA",16792.30,33.56,21.73,3.22,3.96,3.91,7.49,32.42,1.02%,30.40%,1.55,7.40%,11.52%,-13.20%,10.43%,-8.70%,39.10%,3.80%,322.00,321.29,0.20%,-13.84%,88.10%,-0.90%,1.87%,3.10,6.60%,11.90%,8.70%,3.30,2.80,0.42,0.46,52.70%,15.70%,12.00%,0.33%,4.45%,16.25%,11.51%,38.81%,14.46%,1.22,0.72,1.24%,1.34%,1.72%,5.82%,11.96%,-0.21%,14.92%,-0.21%,40.14%,62.12,0.89%,0.51%,1.90,1940.26,0.87,52.15,1.40%,1695108,2/14/2017 4:30:00 PM
"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",6222.65,,16.61,,0.67,1.12,,,,,-2.14,53.70%,2.51%,,54.64%,,84.90%,3.50%,180.21,146.39,7.30%,-63.97%,57.00%,,4.70%,1.56,-2.30%,-4.90%,-2.70%,1.10,0.70,0.25,0.26,15.30%,0.00%,-4.20%,-5.09%,-8.02%,11.75%,,,22.97%,,1.44,4.07%,3.65%,-5.28%,-0.94%,10.05%,-13.20%,23.28%,-13.20%,73.33%,45.27,-3.82%,1.53%,2.20,4417.62,0.92,34.53,-2.35%,4051555,1/24/2017 4:30:00 PM
"AAAP","Advanced Accelerator Applications S.A.","Healthcare","Diagnostic Substances","France",1601.49,,,,14.69,8.70,20.91,,,,-0.64,-103.10%,-2.20%,,,,-237.30%,15.10%,42.20,4.69,,,32.00%,70.57%,7.95%,3.00,-6.30%,-10.40%,-5.40%,3.10,2.90,0.08,0.11,79.10%,-12.20%,-16.70%,-1.25%,8.46%,25.87%,9.43%,11.68%,41.82%,,0.97,1.92%,2.73%,2.32%,16.07%,15.37%,-2.37%,59.66%,-4.31%,61.49%,71.14,-1.04%,0.68%,2.20,124.24,0.57,37.95,-0.37%,70804,3/13/2017 4:30:00 PM
"AAC","AAC Holdings, Inc.","Healthcare","Specialized Health Services","USA",205.13,,12.43,,0.73,1.22,51.28,,,,-0.03,-105.40%,31.40%,-21.20%,20.00%,58.20%,2.00%,24.20%,23.47,11.60,5.50%,0.00%,50.20%,-14.52%,25.96%,20.07,-0.20%,-0.40%,0.50%,2.10,2.10,1.09,1.15,,0.20%,-0.20%,-2.89%,12.20%,6.59%,-55.02%,-48.41%,20.72%,,0.39,3.30%,5.28%,5.51%,9.14%,-40.09%,-9.71%,33.03%,-64.15%,45.42%,58.86,1.27%,0.35%,2.00,149.99,0.61,8.74,1.63%,91200,2/27/2017 4:30:00 PM
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.54%,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,-2.41%,0.98%,9.76%,10.19%,21.47%,11.51%,,0.76,1.57%,1.35%,-1.28%,1.63%,9.34%,-4.00%,13.31%,-4.00%,24.50%,49.09,0.14%,1.13%,,8.80,0.93,44.80,1.28%,8173,
"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",22589.80,9.19,8.04,4.22,0.56,5.96,3.55,39.70,0.91%,8.30%,4.78,-56.50%,18.08%,18.20%,2.18%,10.90%,-89.10%,1.70%,514.57,499.49,0.70%,-13.74%,82.60%,1.06%,5.76%,4.50,5.30%,62.20%,13.00%,0.70,0.70,5.94,6.43,35.60%,13.20%,6.70%,-6.24%,-2.36%,-9.56%,12.09%,6.58%,-5.77%,,1.16,2.88%,2.36%,-5.01%,-5.47%,10.70%,-12.00%,1.50%,-13.12%,78.03%,38.41,1.01%,0.30%,2.30,6387.52,1.07,43.90,1.32%,6840170,1/27/2017 8:30:00 AM
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",110.13,,,,5.51,,2.71,,,,-3.00,-84.90%,,,,,73.50%,-81.70%,1.45,0.92,0.40%,-95.04%,39.10%,-0.87%,14.58%,12.09,-7.90%,2.70%,3.10%,,,,,,-21.60%,-25.70%,-11.58%,-2.32%,104.99%,479.77%,482.89%,41.96%,2.97,5.24,7.23%,5.82%,0.57%,10.16%,120.23%,-14.78%,66.47%,-14.78%,566.23%,53.03,0.07%,0.66%,,11.12,0.77,75.95,0.73%,8513,3/1/2017 8:30:00 AM
"AAME","Atlantic American Corporation","Financial","Life Insurance","USA",75.59,75.51,,,0.46,0.70,6.35,94.49,0.54%,40.70%,0.05,1.90%,,55.20%,,9.20%,-64.20%,5.00%,20.43,4.13,7.40%,0.00%,5.10%,-1.88%,0.12%,1.03,0.30%,0.90%,4.30%,,,0.31,0.31,,2.20%,0.60%,-1.33%,0.00%,-7.50%,7.56%,-10.69%,-9.76%,0.41,0.14,2.84%,3.41%,-2.10%,-3.51%,-2.57%,-14.94%,8.82%,-25.70%,20.92%,45.80,0.00%,-1.33%,,4.63,0.09,3.70,-1.33%,421,03/28/2017
"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",2020.92,14.70,10.92,1.23,0.63,1.35,6.55,5.05,0.39%,5.30%,1.91,2.70%,11.66%,5.90%,12.00%,9.80%,0.80%,-3.20%,72.15,70.53,0.40%,0.00%,82.30%,5.91%,5.54%,4.89,5.40%,9.60%,8.30%,,,0.34,0.00,90.80%,7.60%,4.30%,0.18%,-5.69%,-12.28%,10.23%,19.04%,-12.44%,0.21,0.82,2.21%,3.28%,-0.18%,-6.51%,5.42%,-14.81%,7.24%,-18.15%,36.60%,44.07,2.08%,0.00%,2.00,799.62,0.84,28.01,2.08%,669572,2/17/2017 8:30:00 AM
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",897.77,30.13,13.75,1.72,3.44,3.95,,,,0.00%,1.69,170.10%,9.20%,43.90%,17.50%,40.40%,404.10%,60.20%,17.63,16.18,3.70%,-16.61%,82.60%,4.46%,13.75%,2.80,10.00%,16.70%,12.30%,2.60,1.80,0.15,0.19,33.40%,8.80%,12.00%,-4.50%,62.48%,108.77%,154.35%,198.83%,117.24%,2.81,2.89,6.76%,6.71%,18.99%,49.68%,134.90%,-9.30%,132.72%,-9.30%,530.20%,70.57,-2.10%,-1.23%,2.00,795.83,1.78,50.92,-3.30%,1418324,2/23/2017 4:30:00 PM
"AAON","AAON, Inc.","Industrial Goods","General Building Materials","USA",1876.55,35.44,25.29,2.95,4.89,9.10,42.84,61.73,0.73%,23.80%,1.00,19.00%,27.27%,31.90%,12.00%,7.60%,-10.70%,-5.70%,53.01,40.52,19.50%,-0.50%,64.90%,6.57%,3.96%,10.40,21.20%,26.90%,25.70%,3.60,2.40,0.00,0.00,30.80%,20.70%,13.90%,0.28%,4.27%,8.26%,26.79%,41.65%,7.11%,1.00,0.92,1.88%,2.80%,2.46%,4.43%,17.78%,-1.26%,17.61%,-1.26%,42.67%,56.86,0.71%,0.57%,3.00,154.44,1.26,35.40,1.29%,194982,2/23/2017 8:30:00 AM
